SpecID,Subphylum
Spec0,Basidiomycota
Spec1,Mucoromycota
Spec2,Mucoromycota
Spec3,Ascomycota
Spec4,Ascomycota
Spec5,Ascomycota
Spec6,Ascomycota
Spec4,Ascomycota
Spec7,Ascomycota
Spec8,Ascomycota
Spec9,Ascomycota
Spec10,Ascomycota
Spec11,Ascomycota
Spec12,Ascomycota
Spec13,Ascomycota
Spec14,Ascomycota
Spec15,Ascomycota
Spec16,Ascomycota
Spec17,Ascomycota
Spec18,Ascomycota
Spec19,Ascomycota
Spec20,Ascomycota
Spec21,Ascomycota
Spec22,Ascomycota
Spec23,Ascomycota
Spec24,Ascomycota
Spec25,Ascomycota
Spec26,Ascomycota
Spec27,Ascomycota
Spec28,Ascomycota
Spec29,Ascomycota
Spec30,Ascomycota
Spec31,Ascomycota
Spec32,Ascomycota
Spec33,Ascomycota
Spec34,Ascomycota
Spec35,Ascomycota
Spec36,Ascomycota
Spec37,Ascomycota
Spec38,Ascomycota
Spec39,Ascomycota
Spec40,Ascomycota
Spec41,Ascomycota
Spec42,Ascomycota
Spec43,Ascomycota
Spec44,Ascomycota
Spec45,Ascomycota
Spec46,Ascomycota
Spec47,Ascomycota
Spec48,Ascomycota
Spec49,Ascomycota
Spec50,Ascomycota
Spec51,Ascomycota
Spec52,Ascomycota
Spec53,Ascomycota
Spec54,Ascomycota
Spec55,Ascomycota
Spec56,Ascomycota
Spec57,Ascomycota
Spec58,Ascomycota
Spec59,Ascomycota
Spec60,Ascomycota
Spec61,Ascomycota
Spec62,Ascomycota
Spec63,Ascomycota
Spec64,Ascomycota
Spec65,Ascomycota
Spec66,Ascomycota
Spec67,Ascomycota
Spec68,Ascomycota
Spec69,Ascomycota
Spec70,Ascomycota
Spec71,Ascomycota
Spec72,Ascomycota
Spec73,Ascomycota
Spec74,Ascomycota
Spec75,Ascomycota
Spec76,Basidiomycota
Spec77,Ascomycota
Spec78,Ascomycota
Spec79,Ascomycota
Spec80,Ascomycota
Spec81,Ascomycota
Spec82,Ascomycota
Spec83,Ascomycota
Spec84,Ascomycota
Spec85,Ascomycota
Spec86,Ascomycota
Spec87,Ascomycota
Spec88,Ascomycota
Spec89,Ascomycota
Spec90,Ascomycota
Spec91,Ascomycota
Spec92,Ascomycota
Spec93,Ascomycota
Spec94,Ascomycota
Spec95,Ascomycota
Spec96,Ascomycota
Spec97,Ascomycota
Spec98,Ascomycota
Spec99,Ascomycota
Spec100,Ascomycota
Spec101,Ascomycota
Spec102,Ascomycota
Spec103,Ascomycota
Spec104,Ascomycota
Spec105,Ascomycota
Spec106,Ascomycota
Spec107,Ascomycota
Spec108,Ascomycota
Spec109,Ascomycota
Spec110,Ascomycota
Spec111,Ascomycota
Spec112,Ascomycota
Spec113,Ascomycota
Spec114,Ascomycota
Spec115,Ascomycota
Spec116,Ascomycota
Spec117,Ascomycota
Spec118,Ascomycota
Spec119,Ascomycota
Spec120,Ascomycota
Spec121,Ascomycota
Spec122,Ascomycota
Spec123,Ascomycota
Spec124,Ascomycota
