"ProtID","Class","Subphylum"
"Spec0|KAH9074854.1","canH3","Basidiomycota"
"Spec0|KAH9081451.1","canH3","Basidiomycota"
"Spec0|KAH9077172.1","cenH3","Basidiomycota"
"Spec0|KAH9074860.1","canH3","Basidiomycota"
"Spec1|CAG8588155.1","cenH3","Mucoromycota"
"Spec1|CAG8590853.1","canH3","Mucoromycota"
"Spec1|CAG8610303.1","canH3","Mucoromycota"
"Spec1|CAG8440344.1","canH3","Mucoromycota"
"Spec2|CAG8496971.1","canH3","Mucoromycota"
"Spec2|CAG8673658.1","cenH3","Mucoromycota"
"Spec2|CAG8666239.1","canH3","Mucoromycota"
"Spec2|CAG8440693.1","canH3","Mucoromycota"
"Spec3|TKA64625.1","canH3","Ascomycota"
"Spec3|TKA62674.1","cenH3","Ascomycota"
"Spec3|TKA74091.1","canH3","Ascomycota"
"Spec4|KAI4750449.1","cenH3","Ascomycota"
"Spec4|KAI4749832.1","canH3","Ascomycota"
"Spec4|KAI4762196.1","cenH3","Ascomycota"
"Spec4|KAI4749831.1","canH3","Ascomycota"
"Spec5|KAF7891091.1","canH3","Ascomycota"
"Spec5|KAF7864319.1","cenH3","Ascomycota"
"Spec6|KAI9725151.1","canH3","Ascomycota"
"Spec7|ETN36732.1","canH3","Ascomycota"
"Spec7|ETN40816.1","cenH3","Ascomycota"
"Spec7|ETN41194.1","canH3","Ascomycota"
"Spec7|ETN36732.1","cenH3","Ascomycota"
"Spec8|KAH7087731.1","cenH3","Ascomycota"
"Spec8|KAH7067035.1","cenH3","Ascomycota"
"Spec8|KAH7091022.1","canH3","Ascomycota"
"Spec9|KAI6247583.1","cenH3","Ascomycota"
"Spec9|KAI6247006.1","canH3","Ascomycota"
"Spec9|KAI6244704.1","canH3","Ascomycota"
"Spec10|KAF3026996.1","cenH3","Ascomycota"
"Spec10|KAF3021313.1","canH3","Ascomycota"
"Spec11|KAF3403490.1","cenH3","Ascomycota"
"Spec11|KAF3398204.1","canH3","Ascomycota"
"Spec12|CAF9906236.1","cenH3","Ascomycota"
"Spec12|CAF9932187.1","canH3","Ascomycota"
"Spec13|PYI29851.1","canH3","Ascomycota"
"Spec13|PYI27287.1","cenH3","Ascomycota"
"Spec14|EEH39472.2","cenH3","Ascomycota"
"Spec14|EEH39468.2","cenH3","Ascomycota"
"Spec14|EEH35247.2","cenH3","Ascomycota"
"Spec14|EEH33581.1","cenH3","Ascomycota"
"Spec14|EEH38836.2","cenH3","Ascomycota"
"Spec14|EEH39334.2","cenH3","Ascomycota"
"Spec14|EEH40150.2","cenH3","Ascomycota"
"Spec14|EEH36681.1","canH3","Ascomycota"
"Spec14|EEH41891.2","cenH3","Ascomycota"
"Spec14|EEH41125.2","cenH3","Ascomycota"
"Spec15|RAH44803.1","canH3","Ascomycota"
"Spec15|RAH42942.1","cenH3","Ascomycota"
"Spec16|KAF6235361.1","canH3","Ascomycota"
"Spec16|KAF6241513.1","cenH3","Ascomycota"
"Spec17|KAE8372049.1","cenH3","Ascomycota"
"Spec17|KAE8375180.1","canH3","Ascomycota"
"Spec18|MCJ1310285.1","canH3","Ascomycota"
"Spec18|MCJ1311611.1","cenH3","Ascomycota"
"Spec19|RAK73645.1","canH3","Ascomycota"
"Spec19|RAK79747.1","cenH3","Ascomycota"
"Spec20|PYI13564.1","canH3","Ascomycota"
"Spec20|PYI23256.1","cenH3","Ascomycota"
"Spec21|CAG8394783.1","cenH3","Ascomycota"
"Spec21|CAG8426307.1","canH3","Ascomycota"
"Spec22|PYI10829.1","cenH3","Ascomycota"
"Spec22|PYI11863.1","canH3","Ascomycota"
"Spec23|PWY83010.1","cenH3","Ascomycota"
"Spec23|PWY66429.1","canH3","Ascomycota"
"Spec24|PYH99707.1","canH3","Ascomycota"
"Spec24|PYH98866.1","cenH3","Ascomycota"
"Spec25|RAK97470.1","canH3","Ascomycota"
"Spec25|RAL02781.1","cenH3","Ascomycota"
"Spec26|KGO70679.1","cenH3","Ascomycota"
"Spec26|KGO76760.1","canH3","Ascomycota"
"Spec27|EEA18949.1","cenH3","Ascomycota"
"Spec27|EEA26184.1","cenH3","Ascomycota"
"Spec27|EEA25604.1","canH3","Ascomycota"
"Spec27|EEA18593.1","cenH3","Ascomycota"
"Spec28|OJJ50006.1","canH3","Ascomycota"
"Spec28|OJJ43783.1","cenH3","Ascomycota"
"Spec29|OJJ52631.1","cenH3","Ascomycota"
"Spec29|OJJ62826.1","canH3","Ascomycota"
"Spec30|EXJ57268.1","canH3","Ascomycota"
"Spec30|EXJ63088.1","cenH3","Ascomycota"
"Spec31|PMD64778.1","cenH3","Ascomycota"
"Spec31|PMD65265.1","canH3","Ascomycota"
"Spec32|KXG51239.1","cenH3","Ascomycota"
"Spec32|KXG50710.1","canH3","Ascomycota"
"Spec33|KAF2208723.1","cenH3","Ascomycota"
"Spec33|KAF2213498.1","canH3","Ascomycota"
"Spec34|OGM50266.1","cenH3","Ascomycota"
"Spec34|OGM48594.1","canH3","Ascomycota"
"Spec35|CAF9912754.1","canH3","Ascomycota"
"Spec35|CAF9915585.1","cenH3","Ascomycota"
"Spec36|CAD6585281.1","cenH3","Ascomycota"
"Spec36|CAD6584352.1","canH3","Ascomycota"
"Spec37|CAG7929506.1","cenH3","Ascomycota"
"Spec37|CAG7925038.1","canH3","Ascomycota"
"Spec38|MCJ1350016.1","canH3","Ascomycota"
"Spec39|RAO72130.1","cenH3","Ascomycota"
"Spec39|RAO66168.1","canH3","Ascomycota"
"Spec40|MCJ1422009.1","canH3","Ascomycota"
"Spec40|MCJ1418239.1","cenH3","Ascomycota"
"Spec41|CAI7679010.1","canH3","Ascomycota"
"Spec41|CAI7567743.1","cenH3","Ascomycota"
"Spec42|OJI96871.1","canH3","Ascomycota"
"Spec42|OJJ04659.1","cenH3","Ascomycota"
"Spec43|CAI7641801.1","canH3","Ascomycota"
"Spec43|CAI7572687.1","cenH3","Ascomycota"
"Spec44|KAI9783953.1","canH3","Ascomycota"
"Spec45|KAI9744967.1","canH3","Ascomycota"
"Spec45|KAI9746468.1","cenH3","Ascomycota"
"Spec46|KAF2724351.1","canH3","Ascomycota"
"Spec47|EMF12936.1","canH3","Ascomycota"
"Spec47|EMF12022.1","cenH3","Ascomycota"
"Spec48|MCJ1322646.1","cenH3","Ascomycota"
"Spec48|MCJ1320392.1","canH3","Ascomycota"
"Spec49|KAA8643236.1","cenH3","Ascomycota"
"Spec49|KAA8651736.1","canH3","Ascomycota"
"Spec50|XP_041540835.1","canH3","Ascomycota"
"Spec50|XP_041546118.1","cenH3","Ascomycota"
"Spec51|KAB8254723.1","cenH3","Ascomycota"
"Spec51|KAB8265262.1","canH3","Ascomycota"
"Spec52|MCJ1335072.1","canH3","Ascomycota"
"Spec53|CAD0100248.1","canH3","Ascomycota"
